log_id,camera_id,technician_id,maintenance_type,description,scheduled_at,completed_at,status,cost
LOG030,CAM030,USR095,Calibration,Adjusting camera angle,2025-06-06 08:20:00,,Scheduled,110.0
LOG031,CAM031,USR082,Routine Check,Routine camera check,2025-06-06 06:25:00,2025-06-06 07:25:00,Completed,140.0
LOG032,CAM032,USR077,Lens Cleaning,Cleaning lens of CAM032,2025-06-06 07:40:00,,In Progress,100.0
LOG033,CAM033,USR028,Software Update,Updating CAM033 software,2025-06-06 08:55:00,2025-06-06 09:55:00,Completed,190.0
LOG034,CAM034,USR063,Hardware Repair,Repairing camera mount,2025-06-06 07:00:00,,Scheduled,270.0
LOG035,CAM035,USR002,Calibration,Calibrating camera focus,2025-06-06 07:30:00,2025-06-06 08:30:00,Completed,130.0
LOG036,CAM036,USR026,Routine Check,Checking camera status,2025-06-06 08:10:00,,In Progress,160.0
LOG037,CAM037,USR074,Lens Cleaning,Lens cleaning for CAM037,2025-06-06 06:45:00,2025-06-06 07:45:00,Completed,85.0
LOG038,CAM038,USR085,Software Update,Firmware update for CAM038,2025-06-06 09:15:00,,Scheduled,200.0
LOG039,CAM039,USR025,Hardware Repair,Fixing camera power,2025-06-06 07:10:00,2025-06-06 08:40:00,Completed,260.0
LOG040,CAM040,USR071,Calibration,Adjusting camera focus,2025-06-06 08:25:00,,In Progress,115.0
LOG041,CAM041,USR044,Routine Check,Routine inspection,2025-06-06 06:20:00,2025-06-06 07:20:00,Completed,145.0
LOG042,CAM042,USR067,Lens Cleaning,Cleaning camera lens,2025-06-06 07:35:00,,Scheduled,95.0
LOG043,CAM043,USR014,Software Update,Updating CAM043 firmware,2025-06-06 08:50:00,2025-06-06 09:50:00,Completed,195.0
LOG044,CAM044,USR055,Hardware Repair,Repairing camera wiring,2025-06-06 06:55:00,,In Progress,280.0
LOG045,CAM045,USR083,Calibration,Calibrating camera,2025-06-06 07:25:00,2025-06-06 08:25:00,Completed,125.0
LOG046,CAM046,USR046,Routine Check,Checking connectivity,2025-06-06 08:05:00,,Scheduled,155.0
LOG047,CAM047,USR042,Lens Cleaning,Lens cleaning for CAM047,2025-06-06 06:35:00,2025-06-06 07:35:00,Completed,90.0
LOG048,CAM048,USR017,Software Update,Firmware update for CAM048,2025-06-06 09:10:00,,In Progress,205.0
LOG049,CAM049,USR089,Hardware Repair,Fixing camera mount,2025-06-06 07:05:00,2025-06-06 08:35:00,Completed,265.0
LOG050,CAM050,USR026,Calibration,Adjusting camera angle,2025-06-06 08:20:00,,Scheduled,110.0
