traffic_id,camera_id,image_id,location_name,latitude,longitude,congestion_level,vehicle_count,average_speed,recorded_at,weather_condition
TRF034,CAM034,IMG034,Buea - Ekona,4.21,9.26,High,55,21.0,2024-11-01 19:14:40,Clear
TRF035,CAM035,IMG035,Douala - Logbaba,4.0,9.76,Medium,40,36.5,2024-05-15 20:40:44,Clear
TRF036,CAM036,IMG036,Yaounde - Obili,3.89,11.51,Low,19,48.0,2024-09-27 11:01:30,Foggy
TRF037,CAM037,IMG037,Buea - Likomba,4.18,9.3,High,64,17.5,2024-09-13 12:48:47,Clear
TRF038,CAM038,IMG038,Douala - Yassa,3.98,9.79,Medium,41,31.5,2025-03-28 03:11:28,Cloudy
TRF039,CAM039,IMG039,Yaounde - Biteng,3.81,11.59,Low,26,45.5,2024-05-22 13:16:17,Clear
TRF040,CAM040,IMG040,Buea - Bolifamba,4.175,9.28,High,59,20.5,2025-05-20 06:03:44,Clear
TRF041,CAM041,IMG041,Douala - Dibamba Bridge,3.9,9.85,Medium,49,27.0,2024-05-21 14:28:52,Rainy
TRF042,CAM042,IMG042,Yaounde - Ekounou,3.878,11.535,Low,23,50.5,2024-01-16 09:30:08,Clear
TRF043,CAM043,IMG043,Buea - Molyko Market,4.157,9.291,High,61,16.5,2024-06-02 04:32:09,Cloudy
TRF044,CAM044,IMG044,Douala - Carrefour Kotto,4.025,9.7,Medium,36,35.0,2024-02-01 13:42:38,Clear
TRF045,CAM045,IMG045,Yaounde - Emombo,3.845,11.545,Low,20,47.0,2024-02-09 06:43:55,Clear
TRF046,CAM046,IMG046,Buea - Regional Hospital,4.154,9.286,High,58,18.0,2024-09-23 06:30:07,Clear
TRF047,CAM047,IMG047,Douala - Ndongo,4.06,9.73,Medium,43,32.5,2024-07-30 11:01:48,Cloudy
TRF048,CAM048,IMG048,Yaounde - Etoudi,3.895,11.515,Low,27,49.5,2024-01-31 19:14:27,Rainy
TRF049,CAM049,IMG049,Buea - Mutengene,4.09,9.27,High,65,15.5,2024-09-06 05:03:20,Clear
TRF050,CAM050,IMG050,Douala - PK10,4.005,9.755,Medium,48,28.0,2024-04-13 17:17:43,Clear
TRF051,CAM051,IMG051,Yaounde - Etoa,3.87,11.5,Low,22,46.5,2024-02-20 18:34:33,Foggy
TRF052,CAM052,IMG052,Buea - Ngeme,4.178,9.298,High,62,19.0,2024-10-30 00:58:13,Clear
TRF053,CAM053,IMG053,Douala - Marché Sandaga,4.04,9.708,Medium,47,30.0,2024-06-02 23:05:22,Cloudy
TRF054,CAM054,IMG054,Yaounde - Nkolbisson,3.825,11.57,Low,25,44.5,2024-06-13 05:43:55,Clear
TRF055,CAM055,IMG055,Buea - Tole,4.19,9.295,High,60,17.0,2024-08-30 08:49:50,Clear
TRF056,CAM056,IMG056,Douala - Bonaloka,4.05,9.69,Medium,45,33.5,2025-04-18 09:41:01,Rainy
TRF057,CAM057,IMG057,Yaounde - Mokolo Market,3.855,11.52,Low,28,40.0,2024-12-05 23:28:55,Clear
TRF058,CAM058,IMG058,Buea - Dibanda,4.145,9.28,High,59,22.0,2025-05-09 12:39:12,Cloudy
TRF059,CAM059,IMG059,Douala - Village,4.075,9.718,Medium,39,31.0,2025-02-07 15:23:22,Clear
TRF060,CAM060,IMG060,Yaounde - Mini Prix,3.868,11.51,Low,18,51.0,2025-03-16 22:25:51,Foggy
TRF061,CAM061,IMG061,Buea - Bolole,4.164,9.276,High,63,18.5,2025-01-28 16:44:37,Clear
TRF062,CAM062,IMG062,Douala - Tradex Bonaberi,4.06,9.66,Medium,42,34.5,2024-03-01 02:34:10,Cloudy
TRF063,CAM063,IMG063,Yaounde - Nkolndongo,3.872,11.54,Low,20,42.0,2024-06-26 22:12:53,Rainy
TRF064,CAM064,IMG064,Buea - Fako Road,4.153,9.292,High,57,19.5,2024-06-25 01:14:07,Clear
TRF065,CAM065,IMG065,Douala - Carrefour Ndokoti,4.031,9.716,Medium,49,28.0,2024-04-20 18:51:27,Clear
TRF066,CAM066,IMG066,Yaounde - Elig-Essono,3.848,11.532,Low,25,47.5,2024-03-15 20:30:01,Foggy
TRF067,CAM067,IMG067,Buea - Checkpoint,4.1585,9.2895,High,60,17.0,2024-06-10 15:28:15,Clear
TRF068,CAM068,IMG068,Douala - Port Entrance,4.05,9.665,Medium,44,32.0,2024-03-14 12:35:23,Cloudy
TRF069,CAM069,IMG069,Yaounde - Nkondom,3.828,11.575,Low,21,45.0,2024-10-25 11:25:22,Clear
TRF070,CAM070,IMG070,Buea - Malingo Street,4.161,9.2885,High,58,20.0,2025-03-17 10:11:44,Clear
TRF071,CAM071,IMG071,Douala - Akwa Clinic,4.05,9.702,Medium,46,29.0,2024-06-02 14:31:39,Rainy
TRF072,CAM072,IMG072,Yaounde - Cité Verte,3.888,11.508,Low,23,50.0,2024-03-28 06:18:26,Clear
TRF073,CAM073,IMG073,Buea - Bova,4.174,9.29,High,65,15.0,2024-06-30 19:43:52,Cloudy
TRF为自己,CAM074,IMG074,Douala - Marché Central,4.047,9.706,Medium,38,36.0,2024-02-11 06:05:51,Clear
TRF075,CAM075,IMG075,Yaounde - Gendarmerie,3.862,11.512,Low,19,48.0,2024-01-31 11:49:29,Clear
TRF076,CAM076,IMG076,Buea - Road 2,4.152,9.284,High,57,19.0,2024-10-09 04:52:08,Clear
TRF077,CAM077,IMG077,Douala - Wouri River Bank,4.07,9.68,Medium,42,33.0,2025-03-13 14:26:25,Cloudy
TRF078,CAM078,IMG078,Yaounde - Nkolbikok,3.835,11.555,Low,26,46.0,2024-01-23 09:16:44,Rainy
TRF079,CAM079,IMG079,Buea - Upper Bokwoango,4.165,9.297,High,61,16.0,2024-05-06 01:37:32,Clear
TRF080,CAM080,IMG080,Douala - Marché Congo,4.048,9.709,Medium,35,37.0,2024-06-15 17:56:35,Clear
TRF081,CAM081,IMG081,Yaounde - Nkol-Eton,3.875,11.522,Low,29,49.0,2025-02-19 14:42:08,Foggy
TRF082,CAM082,IMG082,Buea - Bwitingi,4.176,9.292,High,59,21.0,2024-08-24 17:35:42,Clear
TRF083,CAM083,IMG083,Douala - Total Bonamoussadi,4.068,9.745,Medium,43,30.0,2024-12-25 07:20:13,Cloudy
TRF084,CAM084,IMG084,Yaounde - Ekoudou,3.86,11.5,Low,17,52.0,2024-01-25 01:49:03,Clear
TRF085,CAM085,IMG085,Buea - Lycée Molyko,4.1575,9.2905,High,64,18.0,2024-03-14 10:25:51,Clear
TRF086,CAM086,IMG086,Douala - Marché Mboppi,4.038,9.712,Medium,48,29.5,2025-05-15 09:36:31,Rainy
TRF087,CAM087,IMG087,Yaounde - Avenue Kennedy,3.863,11.515,Low,24,43.5,2025-06-02 14:02:11,Clear
TRF088,CAM088,IMG088,Buea - Presidential Palace Road,4.16,9.286,High,56,22.5,2024-06-11 03:14:38,Cloudy
TRF089,CAM089,IMG089,Douala - Parc des Princes,4.042,9.695,Medium,37,31.5,2024-05-12 00:41:55,Clear
TRF090,CAM090,IMG090,Yaounde - Avenue Winston Churchill,3.858,11.508,Low,20,46.0,2024-06-20 22:46:38,Foggy
TRF091,CAM091,IMG001,Buea - Buea Town Health Centre,4.1505,9.2815,High,60,19.0,2024-02-29 10:24:10,Clear
TRF092,CAM092,IMG002,Douala - PK8,4.01,9.745,Medium,45,28.0,2024-07-05 11:42:03,Cloudy
TRF093,CAM093,IMG003,Yaounde - Lac Municipal,3.867,11.505,Low,25,40.0,2025-04-03 17:08:05,Rainy
TRF094,CAM094,IMG004,Buea - CCAST,4.1705,9.2845,High,55,20.0,2025-02-19 01:32:02,Clear
TRF095,CAM095,IMG005,Douala - Koumassi,4.045,9.725,Medium,38,35.0,2025-02-08 17:09:44,Clear
TRF096,CAM096,IMG006,Yaounde - Centre Ville,3.865,11.52,Low,15,48.0,2025-02-20 07:18:07,Foggy
TRF097,CAM097,IMG007,Buea - UB Sport Complex,4.167,9.291,High,65,15.0,2024-12-30 16:36:30,Clear
TRF098,CAM098,IMG008,Douala - Ancien Route Bonaberi,4.072,9.655,Medium,40,32.0,2024-10-16 19:49:33,Cloudy
TRF099,CAM099,IMG009,Yaounde - Carrefour Vogt,3.869,11.518,Low,25,45.0,2025-05-09 04:39:27,Clear
TRF100,CAM100,IMG010,Buea - Fako Residence,4.1545,9.2875,High,58,20.0,2024-03-11 12:32:03,Clear
